id,tagName,url,avatarUrl
3250,芯片设计验证,https://bbs.csdn.net/forums/ic_lover,"https://img-community.csdnimg.cn/avatar/77ecf8ec633c4c5a95a28b2bf2add784.jpg?x-oss-process=image/resize,m_fixed,h_88,w_88"
57280,Chiplet 技术社区,https://bbs.csdn.net/forums/chiplet,"https://img-community.csdnimg.cn/avatar/f0a79f17483f44fab67faee395d91a61.png?x-oss-process=image/resize,m_fixed,h_88,w_88"
26245,芯片爱好者聚集地,https://bbs.csdn.net/forums/chipfans,https://img-community.csdnimg.cn/avatar/6384f48cf3554207b2cb7070fa2cdf01.png
32284,一碗黄豆酱（玩转电子）,https://bbs.csdn.net/forums/GJJ,https://img-community.csdnimg.cn/avatar/fa3058e7b76345d0955ba19dc329fdd4.png
107478,FPGA技术圈,https://bbs.csdn.net/forums/2cca6eebeeb148268ca06f62135b66eb,https://img-community.csdnimg.cn/avatar/08c4b82a32734f70b6258bad834c5056.png
4329,硬小二资源社,https://bbs.csdn.net/forums/yingxiaoer,"https://img-community.csdnimg.cn/avatar/70426bada3a44a03bca3a510f5139dee.jpg?x-oss-process=image/resize,m_fixed,h_88,w_88"
19439,FPGA社区,https://bbs.csdn.net/forums/FPGAer,"https://img-community.csdnimg.cn/avatar/cc9ec804bed946138f70e188a1072faa.jpg?x-oss-process=image/resize,m_fixed,h_88,w_88"
3208,21ic电子工程师社区,https://bbs.csdn.net/forums/21icBBS,"https://img-community.csdnimg.cn/avatar/34c6d51b63774af79814e4b1c3e2681f.png?x-oss-process=image/resize,m_fixed,h_88,w_88"
439700,一个很硬核的硬件小圈,https://bbs.csdn.net/forums/8acb722161cd4c5c8a86d5e4f2c2f203,"https://img-community.csdnimg.cn/avatar/60cca2213fe84ca1acd9f343eca0958e.png?x-oss-process=image/resize,m_fixed,h_88,w_88"
591625,智能硬件,https://bbs.csdn.net/forums/liht1634,https://img-community.csdnimg.cn/avatar/44856d97c7f74a078cd37ca45358ecfa.png
11217,摆渡沧桑（硬件和安全）,https://bbs.csdn.net/forums/hardware_security,"https://img-community.csdnimg.cn/avatar/746894d9ff124a13ae7d8a359fed66ac.jpg?x-oss-process=image/resize,m_fixed,h_88,w_88"
36971,ARM学习问答社区,https://bbs.csdn.net/forums/architecture,https://img-community.csdnimg.cn/avatar/83c40dd3b08941368dc91901fc9e31ed.png
34630,嵌入式交流社区,https://bbs.csdn.net/forums/8b6c3da99c164501b8429a9fab4be9c5,https://img-community.csdnimg.cn/avatar/ae88ed8fcfb5410f951f6aa520c9bda8.png
33143,单片机之家,https://bbs.csdn.net/forums/MCU,https://img-community.csdnimg.cn/avatar/82b5bee13e8b443196f3473e75298e82.png
201745,FANUC机器人与PLC工业自动化集成,https://bbs.csdn.net/forums/a0e0d9feda4a4d059cc817c8864a0e50,https://img-community.csdnimg.cn/avatar/3738c3ca141844dca0e1b6f9d11748ee.png
28040,王泉涛,https://bbs.csdn.net/forums/hellowqt,https://img-community.csdnimg.cn/avatar/de6dcefcc39949d9b33843a8c59d3e7e.png
3252,MBSE 基于模型的系统工程,https://bbs.csdn.net/forums/MBSE,"https://img-community.csdnimg.cn/avatar/d62acc53b132423092d4179dcbc996fe.jpg?x-oss-process=image/resize,m_fixed,h_88,w_88"
34878,FPGA/IC探索园,https://bbs.csdn.net/forums/21041377091a4a45973c15e43fe9a821,"https://img-community.csdnimg.cn/avatar/9828918995ce4f6dbe872efc6fa36739.jpg?x-oss-process=image/resize,m_fixed,h_88,w_88"
394110,FPGA/SoC技术圈,https://bbs.csdn.net/forums/helloalpha,"https://img-community.csdnimg.cn/avatar/261cdb2b86964761bbcba974ff31ed6d.png?x-oss-process=image/resize,m_fixed,h_88,w_88"
325045,51camera,https://bbs.csdn.net/forums/e138135178ab4e54bffd492b67904b0d,https://img-community.csdnimg.cn/avatar/6b0287bea43c4421bee3094d4de78ed3.png
85285,硅芯思见,https://bbs.csdn.net/forums/430216458f9041d9bc3b30223c193448,https://img-community.csdnimg.cn/avatar/b58651b5af6d45dcae904dcbe9fb8e1f.png
566361,PCB仿真交流社区,https://bbs.csdn.net/forums/f216dde695f54326a75d8352ba7d65d8,"https://img-community.csdnimg.cn/avatar/5448c3acfcf3450ca41bcb861023ee78.jpg?x-oss-process=image/resize,m_fixed,h_88,w_88"
566057,PCB设计交流社区,https://bbs.csdn.net/forums/80e2f440ec834562ab9cdef7fea6279b,"https://img-community.csdnimg.cn/avatar/893efa3d697e40dbbacaa0ef34520913.jpg?x-oss-process=image/resize,m_fixed,h_88,w_88"
37155,汽车电子,https://bbs.csdn.net/forums/me-top,"https://img-community.csdnimg.cn/avatar/00eab82f2d304350b07fe348264cb36e.png?x-oss-process=image/resize,m_fixed,h_88,w_88"
33371,FPGA算法,https://bbs.csdn.net/forums/63af7556f67041e5a49fc89cebded7a4,https://img-community.csdnimg.cn/avatar/94bc50700e104740a5fe7db1a0f00089.png
22141,FPGA Library,https://bbs.csdn.net/forums/linest,"https://img-community.csdnimg.cn/avatar/5a955b3bf58f4af2ae33088ffd70e4f7.jpg?x-oss-process=image/resize,m_fixed,h_88,w_88"
722351,电子爱好社,https://bbs.csdn.net/forums/b311,https://img-community.csdnimg.cn/avatar/7d76eaf12faa4b1baf2c27b3fa454f3f.png
535979,捷配PCB,https://bbs.csdn.net/forums/jiepei,https://img-community.csdnimg.cn/avatar/766ade2ea512417b95d55fdeaca1e816.png
294076,Analog IC,https://bbs.csdn.net/forums/ada0602f1d3d486b9fa4ea15b616fe81,https://img-community.csdnimg.cn/avatar/1023ec5018d64624a3666a2329eda540.png
85377,Time木0101,https://bbs.csdn.net/forums/6d244e6d1dbf43d9a428796479dd113a,https://img-community.csdnimg.cn/avatar/d8047b29f0154872a6198c199edb6841.png
76804,Ayka的数字与系统设计社区,https://bbs.csdn.net/forums/21b5c434f09b450e9c291d13f7bf8ba1,https://img-community.csdnimg.cn/avatar/1b1c960b06c4449ea370cccabd152a8b.png
38408,盛气凌人的仙人掌,https://bbs.csdn.net/forums/33d5ffc954334316985526fc5e41dcc4,https://img-community.csdnimg.cn/avatar/b362eb760a32448cbadb8335ce6b09fc.png
37643,2440 linux kernel,https://bbs.csdn.net/forums/linuxfor2440,"https://img-community.csdnimg.cn/avatar/bc4e06c6b53044dfba55e8bf141381ac.jpg?x-oss-process=image/resize,m_fixed,h_88,w_88"
33985,工业计算机相关,https://bbs.csdn.net/forums/56520190a9ca4685b0baa06b1348ad33,https://img-community.csdnimg.cn/avatar/7e5f70fd1e244d5cb3fc63fb1bfb9127.png
997556,电子设计学习交流,https://bbs.csdn.net/forums/8cc62431204144e5a980b55bf3f8e71e,https://img-community.csdnimg.cn/avatar/1a3c6a52f63d48819aa4b0c1e23d03bd.png
992246,13665068853,https://bbs.csdn.net/forums/65a67fa0da1749c69db860c0cf0a09bf,"https://img-community.csdnimg.cn/avatar/59bc7390c8e84594bf6b9664e064cf3d.png?x-oss-process=image/resize,m_fixed,h_88,w_88"
917105,妄北y,https://bbs.csdn.net/forums/7b7c56ef81604a55bf3338af927e5417,https://img-community.csdnimg.cn/avatar/1a5ee3b3415b4f45a6ebc50ff8649569.png
34564,咸鱼翻书,https://bbs.csdn.net/forums/ubug,https://img-community.csdnimg.cn/avatar/9b95be15dcb84d3cbe06a8633195aaf1.png
34259,小孟boy,https://bbs.csdn.net/forums/3bf05d5c953040a38b4b75f98c1465c9,https://img-community.csdnimg.cn/avatar/f1380d67750c4681bb416415ffb0f313.png
22348,Horizon_robot,https://bbs.csdn.net/forums/horizon_robotics,https://img-community.csdnimg.cn/avatar/2824c23eca3a4743a70a215f6757d427.png
